"","ID","numberOfCliques","cliqueID","cliqueStructure","cliqueSize"
"237","SR2730212",6,1,"2,3,4,5,6,7,8",7
"238","SR2730212",6,2,"10,11,12",3
"239","SR2730212",6,3,"6,7,8",3
"240","SR2730212",6,4,"2,3,4,5,10,11",6
"241","SR2730212",6,5,"0,1",2
"242","SR2930293",3,0,"0,1,2,3,4,5,6,7",8
"243","SR2930293",3,1,"8,9,10,11,12,13,14",7
"244","SR2930293",3,2,"15,16",2
"245","SR3070909",1,0,"1,2,3,4,6,7",6
"246","SR3360800",4,0,"0,1,6",3
"247","SR3360800",4,1,"2,3,4",3
"248","SR3360800",4,2,"0,2,3,4,5,6",6
"249","SR3360800",4,3,"1,2,3",3
"250","SR3410887",2,0,"0,2,4",3
"251","SR3410887",2,1,"1,6,7,8",4
"252","SR3420105",2,0,"0,1,2,3,4",5
"253","SR3420105",2,1,"5,6,7",3
"254","SR3440239",1,0,"0,1,2,3,4,5,6,7,8",9
"255","SR3570943",2,0,"0,1,2,3,4",5
"256","SR3570943",2,1,"5,6",2
"257","SR3950450",1,0,"1",1
"258","SR3980839",4,0,"0,4,5,6,7,8,9,10,11,12,13,14,15,16",14
"259","SR3980839",4,1,"17,18,19,20,21,22",6
"260","SR3980839",4,2,"23,24,25",3
"261","SR3980839",4,3,"26,27,28,30,31,32",6
"262","SR4070277",4,0,"0,5",2
"263","SR4070277",4,1,"1",1
"264","SR4070277",4,2,"2,3",2
"265","SR4070277",4,3,"4,6",2
"266","SR4120891",2,0,"0",1
"267","SR4120891",2,1,"1",1
"268","SR4130974",4,0,"0,1,2",3
"269","SR4130974",4,1,"3,4",2
"270","SR4130974",4,2,"5,6,7,8,9,10",6
"271","SR4130974",4,3,"11,12",2
"272","SR4150538",5,0,"1,2,3",3
"273","SR4150538",5,1,"0,4,5,6,7",5
"274","SR4150538",5,2,"10,11,16,17,18",5
"275","SR4150538",5,3,"8,9",2
"276","SR4150538",5,4,"19,20",2
"277","SR4190202",1,0,"0,1",2
"278","SR4240243",2,0,"0,1",2
"279","SR4240243",2,1,"3,4,5,6,7,8,9,10,11",9
"280","SR4420225",2,0,"0,1",2
"281","SR4420225",2,1,"0,1",2
"282","SR4450618",3,0,"0,1",2
"283","SR4450618",3,1,"0,1",2
"284","SR4450618",3,2,"0",1
"285","SR4510930",3,0,"0",1
"286","SR4510930",3,1,"1",1
"287","SR4510930",3,2,"2",1
"288","SR4560674",1,0,"0,1",2
"289","SR4580891",1,0,"0",1
"290","SR4590309",2,0,"0,2,3,9",4
"291","SR4590309",2,1,"1,4,6,7,8",5
"292","SR4760599",4,0,"3,6,7",3
"293","SR4760599",4,1,"4,5",2
"294","SR4760599",4,2,"1,2",2
"295","SR4760599",4,3,"0",1
"296","SR4770934",1,0,"0",1
"297","SR4850039",3,0,"0,1,2,3",4
"298","SR4850039",3,1,"4,5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",18
"299","SR4850039",3,2,"6,7,8,9",4
"300","SR4950921",1,0,"1,2,3",3
"301","SR4960790",1,0,"0,1",2
"302","SR5170899",3,0,"0,1,2,5,6",5
"303","SR5170899",3,1,"3",1
"304","SR5170899",3,2,"3,4",2
"305","SR5210368",3,0,"0",1
"306","SR5210368",3,1,"1",1
"307","SR5210368",3,2,"0,2",2
"308","SR5310242",2,0,"3,4",2
"309","SR5310242",2,1,"6,7",2
"310","SR5380774",2,0,"0",1
"311","SR5380774",2,1,"1,2,3",3
"312","SR5410163",2,0,"1,2,3",3
"313","SR5410163",2,1,"0,4",2
"314","SR5420069",6,0,"0,1,13,14",4
"315","SR5420069",6,1,"5,6,7,15,16,17,18",7
"316","SR5420069",6,2,"2,3,4,25",4
"317","SR5420069",6,3,"8,9,10",3
"318","SR5420069",6,4,"5,19,20,21",4
"319","SR5420069",6,5,"22,23,24",3
"320","SR5430063",4,0,"0",1
"321","SR5430063",4,1,"1,2,3",3
"322","SR5430063",4,2,"0,4",2
"323","SR5430063",4,3,"5",1
"324","SR5520912",2,0,"0",1
"325","SR5520912",2,1,"1",1
"326","SR5540195",2,0,"0,1",2
"327","SR5540195",2,1,"2,3,4,5,6,7",6
"328","SR5630381",2,0,"10,11",2
"329","SR5630381",2,1,"0,2,3,4,5,6,7,8,9",9
"330","SR5790356",4,0,"0,1",2
"331","SR5790356",4,1,"2",1
"332","SR5790356",4,2,"5,6",2
"333","SR5790356",4,3,"3,4",2
"334","SR5840251",4,0,"3,4,9",3
"335","SR5840251",4,1,"0,2",2
"336","SR5840251",4,2,"1",1
"337","SR5840251",4,3,"5,10,11",3
"338","SR5870187",3,0,"0,1,2",3
"339","SR5870187",3,1,"1,3,8,9",4
"340","SR5870187",3,2,"8",1
"341","SR5970706",3,0,"0,1,2,3",4
"342","SR5970706",3,1,"4,5,6,7",4
"343","SR5970706",3,2,"8,9,10",3
"344","SR6040006",4,0,"0",1
"345","SR6040006",4,1,"0,1",2
"346","SR6040006",4,2,"0,1",2
"347","SR6040006",4,3,"0,1",2
"348","SR6060530",2,0,"4,5,6",3
"349","SR6060530",2,1,"0,1,2,3",4
"350","SR6070405",4,0,"0,1,2,3,4",5
"351","SR6070405",4,1,"5,7,9,10,11,17,18,19",8
"352","SR6070405",4,2,"6,12,13,21",4
"353","SR6070405",4,3,"14,15,16,20",4
"354","SR6090289",1,0,"0,1,2,3,4,5",6
"355","SR6120239",2,0,"0,1",2
"356","SR6120239",2,1,"2",1
"357","SR6170083",2,0,"0,1,2,3,4,5,6,16,17,18,19",11
"358","SR6170083",2,1,"7,8,9,10,11,12,13,14,15,20,21,22,23",13
"359","SR6180586",1,0,"0,1,3",3
"360","SR6230542",2,0,"0,1",2
"361","SR6230542",2,1,"2,3",2
"362","SR6240999",4,0,"1,2,7",3
"363","SR6240999",4,1,"0",1
"364","SR6240999",4,2,"5,6,8",3
"365","SR6240999",4,3,"3,4",2
"366","SR6310224",3,0,"2,3,4",3
"367","SR6310224",3,1,"1,5,6",3
"368","SR6310224",3,2,"0",1
"369","SR6370513",1,0,"0,1,2,3",4
"370","SR6390198",2,0,"0",1
"371","SR6390198",2,1,"1,2",2
